[Sat Mar 17 15:11:02.280 2018] 0.000 sec 0.004 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sat Mar 17 15:12:08.307 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sun Mar 18 02:03:17.695 2018] 0.000 sec 0.004 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sun Mar 18 02:03:18.374 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sun Mar 18 02:04:38.546 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sun Mar 18 02:04:38.841 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Sun Mar 18 02:42:23.971 2018] 0.003 sec 0.003 sec [ext2/3/ext 0 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 02:42:26.699 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 02:42:28.934 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 05:55:48.899 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Sun Mar 18 05:55:48.902 2018] 0.000 sec 0.000 sec [ext2/1/ext 1 (0,20)] [custom_field_value_delta]
[Sun Mar 18 05:55:50.457 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Sun Mar 18 06:18:18.888 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sun Mar 18 06:22:19.217 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sun Mar 18 06:22:19.593 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Sun Mar 18 06:22:21.016 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sun Mar 18 06:25:45.725 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 06:25:48.532 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 06:25:54.089 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 06:25:58.081 2018] 0.000 sec 0.000 sec [ext2/4/ext 0 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 06:26:04.011 2018] 0.000 sec 0.000 sec [ext2/4/ext 0 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 06:26:07.555 2018] 0.000 sec 0.000 sec [ext2/4/ext 1 (0,24)] [`listing_core`, `listing_delta]
[Sun Mar 18 06:28:41.175 2018] 0.000 sec 0.000 sec [ext2/4/ext 1 (0,150)] [`listing_core`, `listing_delta]
[Sat Apr 21 01:53:26.160 2018] 0.000 sec 0.000 sec [ext2/2/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium* *Pack*
[Sat Apr 21 01:53:35.566 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *df*
[Sat Apr 21 01:53:43.215 2018] 0.000 sec 0.000 sec [ext2/2/ext 1 (0,24)] [listing_core`, `listing_delta] *chania*
[Sat Apr 21 01:53:54.249 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *kounoupidiana*
[Sat Apr 21 01:53:59.252 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *kounoupidiana*
[Sat Apr 21 01:54:04.791 2018] 0.000 sec 0.000 sec [ext2/2/ext 1 (0,150)] [listing_core`, `listing_delta] *chania*
[Sat Apr 21 01:58:15.060 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *chios*
[Sat Apr 21 01:58:20.592 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *chios*
[Sat Apr 21 01:58:25.046 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *chios*
[Sat Apr 21 09:50:33.630 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sat Apr 21 09:50:34.114 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Sat Apr 21 09:55:18.945 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [listing_core]
[Sat Apr 21 09:55:19.052 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Sat Apr 28 13:34:12.120 2018] 0.008 sec 0.008 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *athens*
[Sat Apr 28 13:34:16.786 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *athens*
[Sat Apr 28 13:34:26.048 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *Athens*
[Sat Apr 28 13:42:11.785 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *Athens*
[Sat Apr 28 13:44:40.519 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *Athens*
[Tue May  1 12:12:22.825 2018] 0.007 sec 0.007 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:12:30.624 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *2*
[Tue May  1 12:12:35.375 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *3*
[Tue May  1 12:12:44.848 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *1*
[Tue May  1 12:15:39.272 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *1*
[Tue May  1 12:15:47.145 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *2*
[Tue May  1 12:16:28.643 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *2*
[Tue May  1 12:16:37.558 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *2*
[Tue May  1 12:16:45.540 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *2*
[Tue May  1 12:17:09.367 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *2*
[Tue May  1 12:17:54.772 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *1*
[Tue May  1 12:18:01.272 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *1*
[Tue May  1 12:18:23.344 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *1*
[Tue May  1 12:18:26.544 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *1*
[Tue May  1 12:18:30.000 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Tue May  1 12:18:34.110 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Tue May  1 12:18:37.494 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta]
[Tue May  1 12:18:51.267 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *1*
[Tue May  1 12:19:01.334 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:19:08.497 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *3*
[Tue May  1 12:19:15.475 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Pack*
[Tue May  1 12:19:23.016 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:19:25.548 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:19:33.506 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *3*
[Tue May  1 12:21:06.156 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:21:18.129 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:21:31.814 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,150)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:21:37.815 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,150)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:37:07.035 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,150)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 12:38:20.804 2018] 0.000 sec 0.000 sec [ext2/2/ext 1 (0,150)] [listing_core`, `listing_delta] *chios*
[Tue May  1 12:40:45.189 2018] 0.000 sec 0.000 sec [ext2/2/ext 2 (0,150)] [listing_core`, `listing_delta] *chania*
[Tue May  1 12:59:24.518 2018] 0.000 sec 0.000 sec [ext2/2/ext 2 (0,150)] [listing_core`, `listing_delta] *chania*
[Tue May  1 13:00:37.524 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,150)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 13:00:52.083 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,150)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 13:01:02.855 2018] 0.000 sec 0.000 sec [ext2/2/ext 2 (0,150)] [listing_core`, `listing_delta] *chania*
[Tue May  1 13:01:39.140 2018] 0.000 sec 0.000 sec [ext2/2/ext 2 (0,24)] [listing_core`, `listing_delta] *chania*
[Tue May  1 13:01:43.240 2018] 0.000 sec 0.000 sec [ext2/2/ext 2 (0,24)] [listing_core`, `listing_delta] *chania*
[Tue May  1 13:01:48.784 2018] 0.000 sec 0.000 sec [ext2/2/ext 2 (0,24)] [listing_core`, `listing_delta] *chania*
[Tue May  1 13:01:55.672 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  1 13:02:02.382 2018] 0.000 sec 0.000 sec [ext2/2/ext 1 (0,24)] [listing_core`, `listing_delta] *chios*
[Tue May  1 13:03:48.499 2018] 0.000 sec 0.000 sec [ext2/2/ext 1 (0,24)] [listing_core`, `listing_delta] *chios*
[Wed May  2 12:02:23.591 2018] 0.010 sec 0.010 sec [ext2/2/ext 1 (0,24)] [listing_core`, `listing_delta] *chios*
[Wed May  2 12:02:30.044 2018] 0.000 sec 0.000 sec [ext2/2/ext 1 (0,150)] [listing_core`, `listing_delta] *chios*
[Wed May  2 12:02:50.476 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *kaloplitou*
[Wed May  2 12:06:35.544 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,150)] [listing_core`, `listing_delta] *Tsakou*
[Wed May  2 12:06:45.498 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,150)] [listing_core`, `listing_delta] *Premium*
[Tue May  8 12:28:20.201 2018] 0.014 sec 0.014 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  8 13:00:39.125 2018] 0.001 sec 0.001 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  8 13:00:45.637 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  8 13:06:15.632 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  8 13:08:41.303 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  8 13:59:32.582 2018] 0.001 sec 0.001 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  8 13:59:37.595 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May  8 13:59:38.280 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Thu May 10 09:36:49.362 2018] 0.002 sec 0.002 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Fri May 11 13:05:58.685 2018] 0.010 sec 0.010 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium*
[Fri May 11 13:06:05.342 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium*
[Fri May 11 13:14:55.876 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium*
[Fri May 11 13:17:08.842 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium*
[Fri May 11 13:18:57.969 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium*
[Fri May 11 13:19:02.839 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium*
[Fri May 11 23:10:10.124 2018] 0.006 sec 0.006 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium*
[Fri May 11 23:10:14.858 2018] 0.000 sec 0.000 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sat May 12 13:01:58.864 2018] 0.002 sec 0.002 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sat May 12 13:06:13.743 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sat May 12 13:06:22.559 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sat May 12 13:06:32.176 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sat May 12 13:06:49.450 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 03:43:20.247 2018] 0.020 sec 0.020 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 03:43:25.784 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 03:43:36.893 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 03:43:43.146 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:08:24.548 2018] 0.001 sec 0.001 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:08:31.311 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:08:37.248 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:08:41.468 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:09:33.428 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:09:43.054 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:18:56.904 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:19:49.039 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:38:34.534 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:40:31.630 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 05:40:36.727 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 06:07:14.035 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 06:09:32.898 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:08:57.895 2018] 0.005 sec 0.005 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:09:18.802 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:09:49.198 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:29:06.827 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:30:50.373 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:40:10.451 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:40:13.463 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:41:22.401 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 10:59:13.957 2018] 0.016 sec 0.016 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 12:49:30.491 2018] 0.001 sec 0.001 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 12:49:43.349 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:05:09.633 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:05:13.407 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:05:23.203 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:05:43.602 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:10:16.271 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:45:35.487 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:48:50.779 2018] 0.001 sec 0.001 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:49:06.919 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:49:16.385 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 13 13:56:49.151 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Tue May 15 10:19:47.726 2018] 0.009 sec 0.009 sec [ext2/3/ext 1 (0,150)] [listing_core`, `listing_delta] *Premium*
[Wed May 16 10:24:19.696 2018] 0.010 sec 0.010 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium*
[Wed May 16 10:31:55.256 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Wed May 16 10:32:01.035 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Wed May 16 10:32:06.072 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *3*
[Wed May 16 10:32:13.438 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium* *Pack*
[Wed May 16 10:32:26.431 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *Premium* *Pack* *2*
[Wed May 16 10:33:51.386 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium* *Pack*
[Wed May 16 10:33:59.373 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta] *Premium* *Pack*
[Wed May 16 10:54:39.502 2018] 0.000 sec 0.000 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Wed May 16 11:02:54.073 2018] 0.000 sec 0.000 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta]
[Sat May 19 22:23:46.155 2018] 0.009 sec 0.009 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 20 10:53:21.711 2018] 0.011 sec 0.011 sec [ext2/2/ext 2 (0,24)] [listing_core`, `listing_delta] *chania*
[Sun May 20 10:53:34.566 2018] 0.001 sec 0.001 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *apokoronou*
[Sun May 20 10:53:47.067 2018] 0.000 sec 0.000 sec [ext2/2/ext 0 (0,24)] [listing_core`, `listing_delta] *korakies*
[Sun May 27 10:05:16.641 2018] 0.018 sec 0.018 sec [ext2/2/ext 3 (0,24)] [listing_core`, `listing_delta] *Premium*
[Sun May 27 12:43:07.417 2018] 0.007 sec 0.007 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta]
[Sun May 27 13:03:36.498 2018] 0.006 sec 0.006 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Sun May 27 13:07:19.899 2018] 0.000 sec 0.000 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Fri Jun  1 14:24:23.006 2018] 0.018 sec 0.018 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Sat Jun  2 01:05:29.387 2018] 0.017 sec 0.017 sec [ext2/3/ext 0 (0,24)] [listing_core`, `listing_delta]
[Sat Jun  2 09:19:33.550 2018] 0.027 sec 0.027 sec [ext2/3/ext 1 (0,24)] [listing_core`, `listing_delta]
[Sun Jun  3 13:07:08.050 2018] 0.000 sec 0.010 sec [ext2/1/ext 1 (0,20)] [listing_core]
[Sun Jun  3 13:07:08.539 2018] 0.000 sec 0.003 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Sun Jun  3 13:07:10.223 2018] 0.000 sec 0.000 sec [ext2/1/ext 1 (0,20)] [listing_core]
[Sun Jun  3 13:07:41.555 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Sun Jun  3 13:19:11.979 2018] 0.007 sec 0.007 sec [ext2/3/ext 2 (0,24)] [listing_core`, `listing_delta]
[Tue Jun  5 02:56:46.058 2018] 0.000 sec 0.019 sec [ext2/1/ext 1 (0,20)] [custom_field_value_core]
[Tue Jun  5 02:56:46.063 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_delta]
[Tue Jun  5 02:56:46.071 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Tue Jun  5 02:56:46.071 2018] 0.000 sec 0.000 sec [ext2/1/ext 1 (0,20)] [custom_field_value_delta]
[Tue Jun  5 02:56:46.081 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Tue Jun  5 02:56:46.082 2018] 0.000 sec 0.000 sec [ext2/1/ext 1 (0,20)] [custom_field_value_delta]
[Tue Jun  5 02:56:48.577 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
[Tue Jun  5 02:56:48.618 2018] 0.000 sec 0.000 sec [ext2/1/ext 0 (0,20)] [custom_field_value_core]
